opponent,w,l,d,eloSum,topLossArch,winBoardHint,lossBoardHint
aj121503,0,9,1,-242,echo_hype,,Customer Call Coach & Assistant | Pipeline Pulse | Luma Pages
novagamingx4,2,9,0,-222,grow_hype,Imogen | Meeting Recap Deck | Writing Bot,Meeting Recap Deck | Writing Bot | Luma Pages
chr1sr1chards,2,7,0,-180,hurt_revenge,Imogen | The Morning Newspaper | Account Research Desk,Pipeline Pulse | Credit Card Max | Deal Inspector
converse1nation,2,8,0,-167,bulk_echo,NYC Parent | Paid Media Report Desk | Call Follow-Ups,Copy Humanizer | Stills & Clips Desk | Love ❤️
logosworks,2,8,1,-166,sustain,Deal Inspector | Cooper | WTD,Imogen | Copy Humanizer | Copy Humanizer
seano1022,1,6,0,-139,wake_chip,The Morning Newspaper | Office Ops Desk | Writing Bot,Imogen | Meeting Recap Deck | EBR & Value Deck Builder
misha_erm,4,5,0,-135,chip_snipe,The Morning Newspaper | Copy Humanizer | Paid Media Report Desk,Imogen | Webby | Love ❤️
thefieldpass,1,8,2,-127,buff_suicide,NYC Parent | The Morning Newspaper | Writing Bot,SEO & AEO Desk | Signal Prospector | EBR & Value Deck Builder
sandisjonass,4,5,0,-124,chip_snipe,NYC Parent | Imogen | Luma Pages,Cooper | Customer Call Coach & Assistant | Overheard
dlsusco,3,5,1,-112,hurt_revenge,Company Docs Q&A | Call Follow-Ups | Writing Bot,Imogen | Video Edit Desk | Critiquito: Design Critique
nickhenryyy,7,5,1,-112,glass_burst,Company Docs Q&A | Tradbot | Company Docs Q&A,EBR & Value Deck Builder | Flora: Plant Care Log | Site Audit
thephatp,7,5,0,-108,chip_snipe,Office Ops Desk | Copy Humanizer | WTD,Flora: Plant Care Log | Site Audit | Call Follow-Ups
scottmrisk,2,3,3,-106,grow_hype,Imogen | The Morning Newspaper | Writing Bot,Office Ops Desk | Cooper | Writing Bot
fourseasonsgrn,2,5,2,-105,grow_scale,Webby | Writing Bot | Webby,Company Docs Q&A | X Brief | Nightly Audit Engineer
sheilamoonready,2,4,2,-103,flamingo_pass,Office Ops Desk | Credit Card Max | Webby,Flora: Plant Care Log | Deal Hunting | Webby
fatkiddeals,2,4,2,-99,flamingo_pass,Imogen | NYC Parent | Call Follow-Ups,Deal Inspector | Cooper | Hiring Signals
_ebfe,2,4,2,-95,chip_snipe,Imogen | WTD | Office Ops Desk,Pipeline Pulse | Company Docs Q&A | Pipeline Pulse
ethanamitchell,2,5,0,-92,hype_battery,The Morning Newspaper | Company Docs Q&A | Credit Card Max,Copy Humanizer | Copy Humanizer | Recruiting Coordinator
heywoozyv3y3,3,5,3,-77,hurt_revenge,The Morning Newspaper | Copy Humanizer | Projects Manager,Imogen | Copy Humanizer | Apple Search Ads Review
krzyszt49207304,5,5,0,-73,chip_snipe,Sales Call Coach | Cooper | WTD,Webby | Company Docs Q&A | NYC Parent
jst_icn71,4,4,0,-71,hurt_revenge,The Morning Newspaper | Stills & Clips Desk | Call Follow-Ups,Imogen | Copy Humanizer | Webby
s3xyfuture,3,3,3,-65,wake_chip,Imogen | NYC Parent | Meeting Recap Deck,Cooper | tinkabot | The Morning Newspaper
javabeanai,8,4,0,-64,backline_snipe,The Morning Newspaper | Company Docs Q&A | Call Follow-Ups,Imogen | Copy Humanizer | Webby
darkwidowxx,6,3,0,-62,wake_chip,Imogen | NYC Parent | Writing Bot,NYC Parent | Site Audit | Writing Bot
white1blacks,4,2,1,-60,flamingo_pass,Imogen | Office Ops Desk | Apple Search Ads Review,Flora: Plant Care Log | Hiring Signals | WTD
z723jz,6,2,3,-59,glass_burst,Copy Humanizer | WTD | GTM Account Research,NYC Parent | Webby | Luma Pages
thewife_,4,2,2,-59,buff_suicide,Paid Media Report Desk | Luma Pages | WTD,Pipeline Pulse | Webby | Office Ops Desk
kung_jook,5,4,0,-55,sustain,The Morning Newspaper | Call Follow-Ups | Pipeline Pulse,Love ❤️ | Pipeline Pulse | Credit Card Max
1devnn,5,2,2,-42,chip_snipe,NYC Parent | Copy Humanizer | WTD,The Morning Newspaper | Apple Search Ads Review | Product Idea Stress Test
devarminas,3,3,3,-40,flamingo_pass,Office Ops Desk | Credit Card Max | Lead Pipeline Desk,Company Docs Q&A | Flora: Plant Care Log | Projects Manager
rywelski,6,2,0,-39,chip_snipe,Company Docs Q&A | X Brief | Luma Pages,Nightly Audit Engineer | Pipeline Pulse | Deal Hunting
taxzy920,4,2,0,-38,backline_snipe,Webby | Webby | GTM Loop Closer,Webby | Company Docs Q&A | Credit Card Max
martin_maradei,5,2,1,-36,wake_chip,NYC Parent | Luma Pages | Credit Card Max,Imogen | Copy Humanizer | X Brief
gavinodysseaus,3,1,3,-36,backline_snipe,Imogen | Webby | Pitch Deck Coach,Credit Card Max | Paid Media Report Desk | Writing Bot
3luedream,4,3,0,-34,flamingo_pass,The Morning Newspaper | Tradbot | Writing Bot,Stills & Clips Desk | Deal Inspector | Writing Bot
reyneill_,11,3,0,-34,chip_snipe,Copy Humanizer | Hiring Signals | X Brief,The Morning Newspaper | Stills & Clips Desk | dr eggbot
ajamracing,5,1,3,-33,sustain,NYC Parent | Cooper | Projects Manager,NYC Parent | NYC Parent | NYC Parent
kononovme,5,3,1,-32,chip_snipe,Imogen | Company Docs Q&A | Projects Manager,Flora: Plant Care Log | GTM Prospecting | Hiring Signals
zachregroup,2,1,2,-32,ko_snowball,Lingxi's Engineer Bot | Nightly Audit Engineer | Writing Bot,NYC Parent | Event Request Desk | Tradbot
levificati0n,6,2,3,-30,wake_chip,Webby | Flora: Plant Care Log | Imogen,Webby | Company Docs Q&A | Customer Call Coach & Assistant
apshirokov,7,1,2,-27,chip_snipe,Office Ops Desk | Call Follow-Ups | Lead Pipeline Desk,NYC Parent | Company Docs Q&A | Luma Pages
cxrlosmonroy,7,2,2,-27,glass_burst,Imogen | NYC Parent | Writing Bot,Imogen | Flora: Plant Care Log | X Brief
naphpesoj,4,1,2,-27,glass_burst,Flora: Plant Care Log | Call Follow-Ups | Outbound Prospecting,EBR & Value Deck Builder | Cooper | Writing Bot
