season,seed,match,handle,before,current,before_score,current_score,delta
3,137,1,"ternquest_com",win,draw,1,0.5,-0.5
3,137,2,"vibeleiz",draw,draw,0.5,0.5,0
3,137,3,"izzat316",win,win,1,1,0
3,137,4,"vibeleiz",win,win,1,1,0
3,137,5,"vibeleiz",win,win,1,1,0
3,137,6,"vibeleiz",win,win,1,1,0
3,137,7,"vibeleiz",win,win,1,1,0
3,137,8,"ternquest_com",win,win,1,1,0
3,137,9,"sodiumhyrdride",win,win,1,1,0
3,137,10,"sodiumhyrdride",win,draw,1,0.5,-0.5
3,137,11,"vibeleiz",win,win,1,1,0
3,137,12,"vibeleiz",win,win,1,1,0
3,137,13,"ternquest_com",win,win,1,1,0
3,137,14,"sodiumhyrdride",win,win,1,1,0
3,137,15,"vibeleiz",win,win,1,1,0
3,137,16,"vibeleiz",win,win,1,1,0
3,137,17,"sodiumhyrdride",win,win,1,1,0
3,137,18,"vibeleiz",win,win,1,1,0
3,137,19,"vibeleiz",win,win,1,1,0
3,137,20,"izzat316",loss,loss,0,0,0
3,139,1,"ternquest_com",loss,loss,0,0,0
3,139,2,"vibeleiz",win,loss,1,0,-1
3,139,3,"izzat316",loss,loss,0,0,0
3,139,4,"vibeleiz",win,win,1,1,0
3,139,5,"vibeleiz",win,win,1,1,0
3,139,6,"vibeleiz",win,win,1,1,0
3,139,7,"vibeleiz",loss,win,0,1,1
3,139,8,"ternquest_com",loss,win,0,1,1
3,139,9,"sodiumhyrdride",loss,loss,0,0,0
3,139,10,"sodiumhyrdride",win,loss,1,0,-1
3,139,11,"vibeleiz",win,win,1,1,0
3,139,12,"vibeleiz",win,win,1,1,0
3,139,13,"ternquest_com",win,win,1,1,0
3,139,14,"sodiumhyrdride",win,win,1,1,0
3,139,15,"vibeleiz",win,win,1,1,0
3,139,16,"vibeleiz",win,win,1,1,0
3,139,17,"sodiumhyrdride",win,loss,1,0,-1
3,139,18,"vibeleiz",win,win,1,1,0
3,139,19,"vibeleiz",win,win,1,1,0
3,139,20,"izzat316",loss,loss,0,0,0
3,149,1,"ternquest_com",win,win,1,1,0
3,149,2,"vibeleiz",win,loss,1,0,-1
3,149,3,"izzat316",win,win,1,1,0
3,149,4,"vibeleiz",win,win,1,1,0
3,149,5,"vibeleiz",win,win,1,1,0
3,149,6,"vibeleiz",win,win,1,1,0
3,149,7,"vibeleiz",win,win,1,1,0
3,149,8,"ternquest_com",win,win,1,1,0
3,149,9,"sodiumhyrdride",win,win,1,1,0
3,149,10,"sodiumhyrdride",win,win,1,1,0
3,149,11,"vibeleiz",win,win,1,1,0
3,149,12,"vibeleiz",win,win,1,1,0
3,149,13,"ternquest_com",win,draw,1,0.5,-0.5
3,149,14,"sodiumhyrdride",win,win,1,1,0
3,149,15,"vibeleiz",win,win,1,1,0
3,149,16,"vibeleiz",win,win,1,1,0
3,149,17,"sodiumhyrdride",draw,loss,0.5,0,-0.5
3,149,18,"vibeleiz",win,win,1,1,0
3,149,19,"vibeleiz",win,win,1,1,0
3,149,20,"izzat316",loss,loss,0,0,0
3,151,1,"ternquest_com",win,win,1,1,0
3,151,2,"vibeleiz",loss,loss,0,0,0
3,151,3,"izzat316",win,win,1,1,0
3,151,4,"vibeleiz",win,win,1,1,0
3,151,5,"vibeleiz",win,win,1,1,0
3,151,6,"vibeleiz",win,win,1,1,0
3,151,7,"vibeleiz",win,win,1,1,0
3,151,8,"ternquest_com",win,win,1,1,0
3,151,9,"sodiumhyrdride",win,win,1,1,0
3,151,10,"sodiumhyrdride",win,win,1,1,0
3,151,11,"vibeleiz",win,win,1,1,0
3,151,12,"vibeleiz",win,win,1,1,0
3,151,13,"ternquest_com",win,win,1,1,0
3,151,14,"sodiumhyrdride",win,win,1,1,0
3,151,15,"vibeleiz",win,win,1,1,0
3,151,16,"vibeleiz",win,win,1,1,0
3,151,17,"sodiumhyrdride",win,draw,1,0.5,-0.5
3,151,18,"vibeleiz",loss,loss,0,0,0
3,151,19,"vibeleiz",win,win,1,1,0
3,151,20,"izzat316",draw,loss,0.5,0,-0.5
3,157,1,"ternquest_com",win,win,1,1,0
3,157,2,"vibeleiz",loss,win,0,1,1
3,157,3,"izzat316",loss,win,0,1,1
3,157,4,"vibeleiz",win,win,1,1,0
3,157,5,"vibeleiz",win,win,1,1,0
3,157,6,"vibeleiz",win,win,1,1,0
3,157,7,"vibeleiz",loss,win,0,1,1
3,157,8,"ternquest_com",win,win,1,1,0
3,157,9,"sodiumhyrdride",loss,loss,0,0,0
3,157,10,"sodiumhyrdride",loss,win,0,1,1
3,157,11,"vibeleiz",win,win,1,1,0
3,157,12,"vibeleiz",win,win,1,1,0
3,157,13,"ternquest_com",loss,draw,0,0.5,0.5
3,157,14,"sodiumhyrdride",win,win,1,1,0
3,157,15,"vibeleiz",win,win,1,1,0
3,157,16,"vibeleiz",win,win,1,1,0
3,157,17,"sodiumhyrdride",win,win,1,1,0
3,157,18,"vibeleiz",win,win,1,1,0
3,157,19,"vibeleiz",win,win,1,1,0
3,157,20,"izzat316",loss,loss,0,0,0
