season,seed,match,handle,before,current,before_score,current_score,delta
3,163,1,"ternquest_com",win,win,1,1,0
3,163,2,"vibeleiz",draw,draw,0.5,0.5,0
3,163,3,"izzat316",win,win,1,1,0
3,163,4,"vibeleiz",win,win,1,1,0
3,163,5,"vibeleiz",win,win,1,1,0
3,163,6,"vibeleiz",win,win,1,1,0
3,163,7,"vibeleiz",win,win,1,1,0
3,163,8,"ternquest_com",win,win,1,1,0
3,163,9,"sodiumhyrdride",win,win,1,1,0
3,163,10,"sodiumhyrdride",win,loss,1,0,-1
3,163,11,"vibeleiz",loss,win,0,1,1
3,163,12,"vibeleiz",win,win,1,1,0
3,163,13,"ternquest_com",win,win,1,1,0
3,163,14,"sodiumhyrdride",win,win,1,1,0
3,163,15,"vibeleiz",win,win,1,1,0
3,163,16,"vibeleiz",win,win,1,1,0
3,163,17,"sodiumhyrdride",draw,win,0.5,1,0.5
3,163,18,"vibeleiz",loss,win,0,1,1
3,163,19,"vibeleiz",win,win,1,1,0
3,163,20,"izzat316",win,loss,1,0,-1
3,167,1,"ternquest_com",win,win,1,1,0
3,167,2,"vibeleiz",loss,loss,0,0,0
3,167,3,"izzat316",loss,loss,0,0,0
3,167,4,"vibeleiz",win,win,1,1,0
3,167,5,"vibeleiz",win,win,1,1,0
3,167,6,"vibeleiz",draw,win,0.5,1,0.5
3,167,7,"vibeleiz",win,win,1,1,0
3,167,8,"ternquest_com",win,win,1,1,0
3,167,9,"sodiumhyrdride",draw,win,0.5,1,0.5
3,167,10,"sodiumhyrdride",loss,loss,0,0,0
3,167,11,"vibeleiz",win,win,1,1,0
3,167,12,"vibeleiz",win,win,1,1,0
3,167,13,"ternquest_com",win,loss,1,0,-1
3,167,14,"sodiumhyrdride",win,win,1,1,0
3,167,15,"vibeleiz",win,win,1,1,0
3,167,16,"vibeleiz",win,win,1,1,0
3,167,17,"sodiumhyrdride",win,win,1,1,0
3,167,18,"vibeleiz",loss,win,0,1,1
3,167,19,"vibeleiz",win,win,1,1,0
3,167,20,"izzat316",loss,win,0,1,1
3,173,1,"ternquest_com",loss,loss,0,0,0
3,173,2,"vibeleiz",loss,loss,0,0,0
3,173,3,"izzat316",loss,win,0,1,1
3,173,4,"vibeleiz",win,win,1,1,0
3,173,5,"vibeleiz",win,win,1,1,0
3,173,6,"vibeleiz",win,win,1,1,0
3,173,7,"vibeleiz",loss,win,0,1,1
3,173,8,"ternquest_com",win,win,1,1,0
3,173,9,"sodiumhyrdride",win,win,1,1,0
3,173,10,"sodiumhyrdride",draw,loss,0.5,0,-0.5
3,173,11,"vibeleiz",draw,win,0.5,1,0.5
3,173,12,"vibeleiz",win,win,1,1,0
3,173,13,"ternquest_com",win,win,1,1,0
3,173,14,"sodiumhyrdride",win,win,1,1,0
3,173,15,"vibeleiz",win,win,1,1,0
3,173,16,"vibeleiz",win,win,1,1,0
3,173,17,"sodiumhyrdride",loss,draw,0,0.5,0.5
3,173,18,"vibeleiz",win,loss,1,0,-1
3,173,19,"vibeleiz",win,win,1,1,0
3,173,20,"izzat316",loss,loss,0,0,0
