season,seed,match,handle,before,current,before_score,current_score,delta
1,101,1,"4techx",win,win,1,1,0
1,101,2,"mlaneio",win,win,1,1,0
1,101,3,"sn_cryptos",loss,loss,0,0,0
1,101,4,"tops_2026",draw,draw,0.5,0.5,0
1,101,5,"hisstoricalpoet",win,win,1,1,0
1,101,6,"rayanabdulcader",draw,draw,0.5,0.5,0
1,101,7,"heywoozyv3y3",loss,loss,0,0,0
1,101,8,"regan_jeremy",loss,loss,0,0,0
1,101,9,"jennymarquis",win,win,1,1,0
1,101,10,"lawrencejessej",win,win,1,1,0
1,101,11,"orinborg",win,win,1,1,0
1,101,12,"bartlangley2",win,win,1,1,0
1,101,13,"muljat",win,win,1,1,0
1,101,14,"4techx",win,win,1,1,0
1,101,15,"endshunter",win,win,1,1,0
1,101,16,"dlsusco",draw,draw,0.5,0.5,0
1,101,17,"skdonkor672",win,win,1,1,0
1,101,18,"paulctan",win,win,1,1,0
1,101,19,"skykn9",win,win,1,1,0
1,101,20,"autoglassofsd",win,win,1,1,0
1,103,1,"ofirsela",loss,loss,0,0,0
1,103,2,"supbrice",win,win,1,1,0
1,103,3,"asmgkr",loss,loss,0,0,0
1,103,4,"lndigitalworld",win,win,1,1,0
1,103,5,"cybareth",win,win,1,1,0
1,103,6,"valomcratch",win,win,1,1,0
1,103,7,"dirvelin",win,win,1,1,0
1,103,8,"mcafe17",win,win,1,1,0
1,103,9,"ramche1337",win,win,1,1,0
1,103,10,"arkaene",win,win,1,1,0
1,103,11,"skelliskel",win,win,1,1,0
1,103,12,"hisstoricalpoet",win,win,1,1,0
1,103,13,"dirvelin",win,win,1,1,0
1,103,14,"vibeversity",win,win,1,1,0
1,103,15,"regan_jeremy",win,win,1,1,0
1,103,16,"jimmychickey",win,win,1,1,0
1,103,17,"m0n0cr0m0",win,win,1,1,0
1,103,18,"tischann1",win,win,1,1,0
1,103,19,"huntinglife",win,win,1,1,0
1,103,20,"prakash__pun",win,win,1,1,0
1,107,1,"nehood45",loss,loss,0,0,0
1,107,2,"kanning_m",draw,draw,0.5,0.5,0
1,107,3,"cassiesnow36315",win,win,1,1,0
1,107,4,"fbacope88",win,win,1,1,0
1,107,5,"techwithabe",win,win,1,1,0
1,107,6,"arkaene",win,win,1,1,0
1,107,7,"mikegyvergarcia",win,win,1,1,0
1,107,8,"thebookdesk",win,win,1,1,0
1,107,9,"lucifer_c",win,win,1,1,0
1,107,10,"evgeniiplosskii",draw,draw,0.5,0.5,0
1,107,11,"funnycrown42",win,win,1,1,0
1,107,12,"bala_muppala",win,win,1,1,0
1,107,13,"petex47",win,win,1,1,0
1,107,14,"novagamingx4",draw,draw,0.5,0.5,0
1,107,15,"cxrlosmonroy",win,win,1,1,0
1,107,16,"alfredmrp2",win,win,1,1,0
1,107,17,"s3xyfuture",win,win,1,1,0
1,107,18,"crawlzpace",win,win,1,1,0
1,107,19,"orangepeel",win,win,1,1,0
1,107,20,"kevinzunigacuel",win,win,1,1,0
1,109,1,"youz00n",loss,loss,0,0,0
1,109,2,"devarminas",loss,loss,0,0,0
1,109,3,"cybareth",win,win,1,1,0
1,109,4,"digitalgold",loss,loss,0,0,0
1,109,5,"philoctech",win,win,1,1,0
1,109,6,"theusinnovator",win,win,1,1,0
1,109,7,"devonphp",win,win,1,1,0
1,109,8,"sn_cryptos",win,win,1,1,0
1,109,9,"pierre_hulsebus",win,win,1,1,0
1,109,10,"mm0000001",win,win,1,1,0
1,109,11,"dogatemywork",win,win,1,1,0
1,109,12,"uansett",win,win,1,1,0
