season,seed,match,handle,before,current,before_score,current_score,delta
3,101,1,"iijanchan",loss,loss,0,0,0
3,101,2,"s3xyfuture",loss,loss,0,0,0
3,101,3,"mhk7272",win,win,1,1,0
3,101,4,"default_vpc",draw,draw,0.5,0.5,0
3,101,5,"default_vpc",win,win,1,1,0
3,101,6,"default_vpc",win,win,1,1,0
3,101,7,"default_vpc",win,win,1,1,0
3,101,8,"default_vpc",win,win,1,1,0
3,103,1,"default_vpc",win,win,1,1,0
3,103,2,"mhk7272",win,win,1,1,0
3,103,3,"arminsolecki",win,win,1,1,0
3,103,4,"_max_q_",win,win,1,1,0
3,103,5,"gkwy",win,win,1,1,0
3,103,6,"sodiumhyrdride",win,win,1,1,0
3,103,7,"_max_q_",win,win,1,1,0
3,103,8,"s3xyfuture",loss,loss,0,0,0
3,107,1,"theusinnovator",win,win,1,1,0
3,107,2,"theusinnovator",win,win,1,1,0
3,107,3,"default_vpc",loss,loss,0,0,0
3,107,4,"devtony",loss,loss,0,0,0
3,107,5,"mhk7272",win,win,1,1,0
3,107,6,"arminsolecki",win,win,1,1,0
3,107,7,"s3xyfuture",draw,draw,0.5,0.5,0
3,107,8,"default_vpc",win,win,1,1,0
3,109,1,"roostercogdick",loss,loss,0,0,0
3,109,2,"_max_q_",win,win,1,1,0
3,109,3,"gkwy",win,win,1,1,0
3,109,4,"_max_q_",win,win,1,1,0
3,109,5,"s3xyfuture",loss,loss,0,0,0
3,109,6,"default_vpc",win,win,1,1,0
3,109,7,"_max_q_",win,win,1,1,0
3,109,8,"mhk7272",win,win,1,1,0
3,113,1,"_max_q_",loss,loss,0,0,0
3,113,2,"1bjax",loss,loss,0,0,0
3,113,3,"default_vpc",draw,draw,0.5,0.5,0
3,113,4,"theusinnovator",win,win,1,1,0
3,113,5,"default_vpc",win,win,1,1,0
3,113,6,"default_vpc",win,win,1,1,0
3,113,7,"iijanchan",win,loss,1,0,-1
3,113,8,"gkwy",win,win,1,1,0
