season,seed,match,handle,before,current,before_score,current_score,delta
1,211,1,"dczx1997",loss,loss,0,0,0
1,211,2,"pepsifan013",win,win,1,1,0
1,211,3,"pierre_hulsebus",win,win,1,1,0
1,211,4,"dirvelin",loss,loss,0,0,0
1,211,5,"clawbuddy69",win,win,1,1,0
1,211,6,"anhgemus",win,win,1,1,0
1,211,7,"arazjera",win,win,1,1,0
1,211,8,"kevinzunigacuel",win,win,1,1,0
1,211,9,"iamphilmichaels",win,win,1,1,0
1,211,10,"realvkarthik",win,win,1,1,0
1,211,11,"sanskar57627477",win,win,1,1,0
1,211,12,"nickbarton",win,win,1,1,0
1,211,13,"jmatthewleelee",win,win,1,1,0
1,211,14,"xucchini",win,win,1,1,0
1,211,15,"arkaene",win,win,1,1,0
1,211,16,"skorpyan1",win,win,1,1,0
1,211,17,"muzzletoken",win,win,1,1,0
1,211,18,"dlsusco",loss,loss,0,0,0
1,211,19,"youz00n",win,win,1,1,0
1,211,20,"finges",win,win,1,1,0
1,223,1,"cwmaguire",loss,loss,0,0,0
1,223,2,"techwithabe",win,win,1,1,0
1,223,3,"wowbaggerv2",win,win,1,1,0
1,223,4,"mangobushmango",win,win,1,1,0
1,223,5,"mechapip",win,win,1,1,0
1,223,6,"muzzletoken",win,win,1,1,0
1,223,7,"slin_creates",win,win,1,1,0
1,223,8,"thefieldpass",loss,loss,0,0,0
1,223,9,"mcafe17",win,win,1,1,0
1,223,10,"fbacope88",win,win,1,1,0
1,223,11,"damirdivkovic",win,win,1,1,0
1,223,12,"huntinglife",win,win,1,1,0
1,223,13,"scottmrisk",loss,loss,0,0,0
1,223,14,"pr0ftrader",win,win,1,1,0
1,223,15,"sandramp",win,win,1,1,0
1,223,16,"alexanderk5993",win,win,1,1,0
1,223,17,"slin_creates",win,win,1,1,0
1,223,18,"kschevik",win,win,1,1,0
1,223,19,"skdonkor672",win,win,1,1,0
1,223,20,"datone1yk",win,win,1,1,0
1,227,1,"uiuxax",win,win,1,1,0
1,227,2,"suyashverma",loss,loss,0,0,0
1,227,3,"cassiesnow36315",draw,draw,0.5,0.5,0
1,227,4,"abeansits",win,win,1,1,0
1,227,5,"_ebfe",loss,loss,0,0,0
1,227,6,"lowguathwa",win,win,1,1,0
1,227,7,"jacobjohns0dy9",win,win,1,1,0
1,227,8,"sandisjonass",win,win,1,1,0
1,227,9,"nickbarton",win,win,1,1,0
1,227,10,"nickhenryyy",win,win,1,1,0
1,227,11,"rywelski",win,win,1,1,0
1,227,12,"lawrencejessej",draw,draw,0.5,0.5,0
1,227,13,"haraldandertun",win,win,1,1,0
1,227,14,"rywelski",win,win,1,1,0
1,227,15,"richhar75378",win,win,1,1,0
1,227,16,"asmgkr",win,win,1,1,0
1,227,17,"kaushan",win,win,1,1,0
1,227,18,"levificati0n",win,win,1,1,0
1,227,19,"folktechai",win,win,1,1,0
1,227,20,"lawrencejessej",win,win,1,1,0
1,229,1,"austenxmadison",draw,draw,0.5,0.5,0
1,229,2,"endshunter",win,win,1,1,0
1,229,3,"jeffp2662",win,win,1,1,0
1,229,4,"nickcotsalas",win,win,1,1,0
1,229,5,"tischann1",win,win,1,1,0
1,229,6,"jgabrielgruber",win,win,1,1,0
1,229,7,"roshan_s",win,win,1,1,0
1,229,8,"3luedream",win,win,1,1,0
1,229,9,"sandisjonass",win,win,1,1,0
1,229,10,"evgeniiplosskii",win,win,1,1,0
1,229,11,"jordanj603",win,win,1,1,0
1,229,12,"sebastian_s",win,win,1,1,0
1,229,13,"vibeversity",win,win,1,1,0
1,229,14,"mikogen",win,win,1,1,0
1,229,15,"yuuamane7",win,win,1,1,0
1,229,16,"cibaru",win,win,1,1,0
1,229,17,"cwmaguire",win,win,1,1,0
1,229,18,"codrinteiu",win,win,1,1,0
1,229,19,"davenguyen",win,win,1,1,0
1,229,20,"kierandotai",win,win,1,1,0
1,233,1,"kshay712",draw,draw,0.5,0.5,0
1,233,2,"andyscott727",loss,loss,0,0,0
1,233,3,"mfh_2033",win,win,1,1,0
1,233,4,"_coachingportal",win,win,1,1,0
1,233,5,"nickbarton",win,win,1,1,0
1,233,6,"jackstevs",win,win,1,1,0
1,233,7,"theretardedelon",win,win,1,1,0
1,233,8,"dyormoon",win,win,1,1,0
1,233,9,"autoglassofsd",win,win,1,1,0
1,233,10,"pr0ftrader",win,win,1,1,0
1,233,11,"josephm95500426",win,win,1,1,0
1,233,12,"afktravels",win,win,1,1,0
