season,seed,match,handle,before,current,before_score,current_score,delta
3,227,1,"default_vpc",loss,loss,0,0,0
3,227,2,"mhk7272",win,win,1,1,0
3,227,3,"default_vpc",win,win,1,1,0
3,227,4,"izzat316",loss,loss,0,0,0
3,227,5,"iijanchan",win,win,1,1,0
3,227,6,"luisjimnezcort5",win,win,1,1,0
3,227,7,"sodiumhyrdride",win,win,1,1,0
3,227,8,"default_vpc",win,win,1,1,0
3,227,9,"theusinnovator",win,win,1,1,0
3,227,10,"default_vpc",win,win,1,1,0
3,227,11,"alexfinkbeiner",win,win,1,1,0
3,227,12,"_max_q_",win,win,1,1,0
3,227,13,"default_vpc",loss,loss,0,0,0
3,227,14,"alexfinkbeiner",win,win,1,1,0
3,227,15,"alexfinkbeiner",win,win,1,1,0
3,227,16,"arminsolecki",win,win,1,1,0
3,227,17,"metamaxct",win,win,1,1,0
3,227,18,"_max_q_",win,win,1,1,0
3,227,19,"devtony",loss,loss,0,0,0
3,227,20,"_max_q_",win,win,1,1,0
