season,seed,match,handle,before,current,before_score,current_score,delta
1,101,1,"4techx",win,win,1,1,0
1,101,2,"mlaneio",win,win,1,1,0
1,101,3,"sn_cryptos",loss,loss,0,0,0
1,101,4,"tops_2026",draw,draw,0.5,0.5,0
1,101,5,"hisstoricalpoet",win,win,1,1,0
1,101,6,"rayanabdulcader",draw,draw,0.5,0.5,0
1,101,7,"heywoozyv3y3",loss,loss,0,0,0
1,101,8,"regan_jeremy",loss,loss,0,0,0
1,101,9,"jennymarquis",win,win,1,1,0
1,101,10,"lawrencejessej",win,win,1,1,0
1,103,1,"ofirsela",loss,loss,0,0,0
1,103,2,"supbrice",win,win,1,1,0
1,103,3,"asmgkr",loss,loss,0,0,0
1,103,4,"lndigitalworld",win,win,1,1,0
1,103,5,"cybareth",win,win,1,1,0
1,103,6,"valomcratch",win,win,1,1,0
1,103,7,"dirvelin",win,win,1,1,0
1,103,8,"mcafe17",win,win,1,1,0
1,103,9,"ramche1337",win,win,1,1,0
1,103,10,"arkaene",win,win,1,1,0
1,107,1,"nehood45",loss,loss,0,0,0
1,107,2,"kanning_m",draw,draw,0.5,0.5,0
1,107,3,"cassiesnow36315",win,win,1,1,0
1,107,4,"fbacope88",win,win,1,1,0
1,107,5,"techwithabe",win,win,1,1,0
1,107,6,"arkaene",win,win,1,1,0
1,107,7,"mikegyvergarcia",win,win,1,1,0
1,107,8,"thebookdesk",win,win,1,1,0
1,107,9,"lucifer_c",win,win,1,1,0
1,107,10,"evgeniiplosskii",draw,draw,0.5,0.5,0
1,109,1,"youz00n",loss,loss,0,0,0
1,109,2,"devarminas",loss,loss,0,0,0
1,109,3,"cybareth",win,win,1,1,0
1,109,4,"digitalgold",loss,loss,0,0,0
1,109,5,"philoctech",win,win,1,1,0
1,109,6,"theusinnovator",win,win,1,1,0
1,109,7,"devonphp",win,win,1,1,0
1,109,8,"sn_cryptos",win,win,1,1,0
1,109,9,"pierre_hulsebus",win,win,1,1,0
1,109,10,"mm0000001",win,win,1,1,0
1,113,1,"edtadros",draw,draw,0.5,0.5,0
1,113,2,"pulsemotionhub1",win,win,1,1,0
1,113,3,"ramche1337",win,win,1,1,0
1,113,4,"josephm95500426",draw,draw,0.5,0.5,0
1,113,5,"carlosramirez",win,win,1,1,0
1,113,6,"ramche1337",win,win,1,1,0
1,113,7,"_coachingportal",win,win,1,1,0
1,113,8,"cyber9trap",win,win,1,1,0
1,113,9,"mm0000001",win,win,1,1,0
1,113,10,"cassiesnow36315",win,win,1,1,0
1,127,1,"uansett",win,win,1,1,0
1,127,2,"cassiesnow36315",loss,loss,0,0,0
1,127,3,"skdonkor672",win,win,1,1,0
1,127,4,"yuuamane7",win,win,1,1,0
1,127,5,"thefieldpass",loss,loss,0,0,0
1,127,6,"laceyintech",win,win,1,1,0
1,127,7,"haraldandertun",win,win,1,1,0
1,127,8,"ferjgm98",draw,draw,0.5,0.5,0
1,127,9,"ethanamitchell",loss,loss,0,0,0
1,127,10,"morgeninamerica",win,win,1,1,0
1,131,1,"theretardedelon",win,win,1,1,0
1,131,2,"adriandparody",loss,loss,0,0,0
1,131,3,"valince_crypto",win,win,1,1,0
1,131,4,"irsthaeth",loss,loss,0,0,0
1,131,5,"candinasf",win,win,1,1,0
1,131,6,"databoticsusa",win,win,1,1,0
1,131,7,"chr1sr1chards",loss,loss,0,0,0
1,131,8,"zeuss_000",win,win,1,1,0
1,131,9,"joshdbirdwell",win,win,1,1,0
1,131,10,"angelogiove",win,win,1,1,0
1,137,1,"laceyintech",draw,draw,0.5,0.5,0
