fold,seed,match,handle,baseline,candidate,baseline_score,candidate_score,delta
0,101,1,"default_vpc",win,win,1,1,0
0,101,2,"default_vpc",win,win,1,1,0
0,101,3,"default_vpc",win,win,1,1,0
0,101,4,"default_vpc",win,win,1,1,0
0,103,1,"default_vpc",win,win,1,1,0
0,103,2,"default_vpc",win,win,1,1,0
0,103,3,"default_vpc",win,win,1,1,0
0,103,4,"default_vpc",win,win,1,1,0
0,107,1,"default_vpc",win,win,1,1,0
0,107,2,"default_vpc",win,win,1,1,0
0,107,3,"default_vpc",win,win,1,1,0
0,107,4,"metamaxct",win,win,1,1,0
0,109,1,"default_vpc",win,win,1,1,0
0,109,2,"metamaxct",win,win,1,1,0
0,109,3,"default_vpc",win,win,1,1,0
0,109,4,"metamaxct",win,win,1,1,0
0,113,1,"metamaxct",win,win,1,1,0
0,113,2,"default_vpc",win,win,1,1,0
0,113,3,"default_vpc",win,win,1,1,0
0,113,4,"default_vpc",win,win,1,1,0
1,101,1,"iijanchan",draw,draw,0.5,0.5,0
1,101,2,"_max_q_",win,win,1,1,0
1,101,3,"_max_q_",win,win,1,1,0
1,101,4,"mhk7272",win,win,1,1,0
1,103,1,"_max_q_",win,win,1,1,0
1,103,2,"mhk7272",win,win,1,1,0
1,103,3,"iijanchan",loss,loss,0,0,0
1,103,4,"_max_q_",win,win,1,1,0
1,107,1,"_max_q_",win,win,1,1,0
1,107,2,"_max_q_",win,win,1,1,0
1,107,3,"_max_q_",win,win,1,1,0
1,107,4,"ayaanyyz",win,win,1,1,0
1,109,1,"mhk7272",win,win,1,1,0
1,109,2,"ayaanyyz",win,win,1,1,0
1,109,3,"_max_q_",win,win,1,1,0
1,109,4,"ayaanyyz",win,win,1,1,0
1,113,1,"ayaanyyz",win,win,1,1,0
1,113,2,"_max_q_",win,win,1,1,0
1,113,3,"_max_q_",win,win,1,1,0
1,113,4,"_max_q_",win,win,1,1,0
2,101,1,"izzat316",win,win,1,1,0
2,101,2,"alexfinkbeiner",win,win,1,1,0
2,101,3,"intensidad1111",win,win,1,1,0
2,101,4,"izzat316",win,win,1,1,0
2,103,1,"alexfinkbeiner",win,win,1,1,0
2,103,2,"izzat316",loss,loss,0,0,0
2,103,3,"izzat316",win,win,1,1,0
2,103,4,"izzat316",win,win,1,1,0
2,107,1,"alexfinkbeiner",win,win,1,1,0
2,107,2,"izzat316",loss,loss,0,0,0
2,107,3,"nateclarklive",win,win,1,1,0
2,107,4,"izzat316",win,win,1,1,0
2,109,1,"izzat316",loss,loss,0,0,0
2,109,2,"izzat316",win,win,1,1,0
2,109,3,"nateclarklive",win,win,1,1,0
2,109,4,"izzat316",win,win,1,1,0
2,113,1,"izzat316",win,win,1,1,0
2,113,2,"alexfinkbeiner",win,win,1,1,0
2,113,3,"intensidad1111",win,win,1,1,0
2,113,4,"devtony",loss,loss,0,0,0
3,101,1,"eliancodex",win,win,1,1,0
3,101,2,"theusinnovator",win,win,1,1,0
3,101,3,"s3xyfuture",win,win,1,1,0
3,101,4,"roostercogdick",win,win,1,1,0
3,103,1,"theusinnovator",win,win,1,1,0
3,103,2,"roostercogdick",win,win,1,1,0
3,103,3,"eliancodex",win,win,1,1,0
3,103,4,"s3xyfuture",win,win,1,1,0
3,107,1,"theusinnovator",win,win,1,1,0
3,107,2,"s3xyfuture",loss,loss,0,0,0
3,107,3,"lighttwrecker",win,win,1,1,0
3,107,4,"theusinnovator",win,win,1,1,0
3,109,1,"roostercogdick",win,win,1,1,0
3,109,2,"theusinnovator",win,win,1,1,0
3,109,3,"lighttwrecker",win,win,1,1,0
3,109,4,"theusinnovator",win,win,1,1,0
3,113,1,"theusinnovator",win,win,1,1,0
3,113,2,"theusinnovator",win,win,1,1,0
3,113,3,"s3xyfuture",draw,draw,0.5,0.5,0
3,113,4,"s3xyfuture",win,win,1,1,0
4,101,1,"1bjax",win,win,1,1,0
4,101,2,"luisjimnezcort5",win,win,1,1,0
4,101,3,"sodiumhyrdride",win,win,1,1,0
4,101,4,"sodiumhyrdride",win,win,1,1,0
4,103,1,"luisjimnezcort5",win,win,1,1,0
4,103,2,"sodiumhyrdride",win,win,1,1,0
4,103,3,"1bjax",win,win,1,1,0
4,103,4,"sodiumhyrdride",win,win,1,1,0
4,107,1,"luisjimnezcort5",win,win,1,1,0
4,107,2,"sodiumhyrdride",draw,draw,0.5,0.5,0
4,107,3,"arminsolecki",win,win,1,1,0
4,107,4,"gkwy",win,win,1,1,0
4,109,1,"sodiumhyrdride",win,win,1,1,0
4,109,2,"arminsolecki",win,win,1,1,0
4,109,3,"arminsolecki",win,win,1,1,0
4,109,4,"arminsolecki",win,win,1,1,0
4,113,1,"gkwy",win,win,1,1,0
4,113,2,"1bjax",win,win,1,1,0
4,113,3,"1bjax",win,win,1,1,0
4,113,4,"sodiumhyrdride",win,win,1,1,0
