season,seed,match,handle,before,current,before_score,current_score,delta
3,107,1,"theusinnovator",win,win,1,1,0
3,107,2,"theusinnovator",win,win,1,1,0
3,107,3,"default_vpc",loss,loss,0,0,0
3,107,4,"devtony",loss,loss,0,0,0
3,107,5,"mhk7272",win,win,1,1,0
3,107,6,"arminsolecki",win,win,1,1,0
3,107,7,"s3xyfuture",draw,draw,0.5,0.5,0
3,107,8,"default_vpc",win,win,1,1,0
3,107,9,"luisjimnezcort5",win,win,1,1,0
3,107,10,"devtony",loss,loss,0,0,0
3,107,11,"izzat316",loss,loss,0,0,0
3,107,12,"ayaanyyz",win,win,1,1,0
3,107,13,"s3xyfuture",win,win,1,1,0
3,107,14,"default_vpc",win,win,1,1,0
3,107,15,"gkwy",win,win,1,1,0
3,107,16,"1bjax",win,win,1,1,0
3,107,17,"default_vpc",win,win,1,1,0
3,107,18,"gkwy",win,win,1,1,0
3,107,19,"default_vpc",win,win,1,1,0
3,107,20,"metamaxct",loss,loss,0,0,0
