season,seed,match,handle,before,current,before_score,current_score,delta
3,101,1,"iijanchan",loss,loss,0,0,0
3,101,2,"s3xyfuture",loss,loss,0,0,0
3,101,3,"mhk7272",win,win,1,1,0
3,101,4,"default_vpc",draw,draw,0.5,0.5,0
3,101,5,"default_vpc",win,win,1,1,0
3,101,6,"default_vpc",win,win,1,1,0
3,101,7,"default_vpc",win,win,1,1,0
3,101,8,"default_vpc",win,win,1,1,0
3,101,9,"lighttwrecker",win,win,1,1,0
3,101,10,"_max_q_",win,win,1,1,0
3,101,11,"default_vpc",win,win,1,1,0
3,101,12,"ayaanyyz",win,win,1,1,0
3,101,13,"theusinnovator",win,win,1,1,0
3,101,14,"iijanchan",win,win,1,1,0
3,101,15,"izzat316",loss,draw,0,0.5,0.5
3,101,16,"_max_q_",win,win,1,1,0
3,101,17,"izzat316",win,win,1,1,0
3,101,18,"s3xyfuture",draw,win,0.5,1,0.5
3,101,19,"izzat316",draw,win,0.5,1,0.5
3,101,20,"ayaanyyz",win,win,1,1,0
3,103,1,"default_vpc",win,win,1,1,0
3,103,2,"mhk7272",win,win,1,1,0
3,103,3,"arminsolecki",win,win,1,1,0
3,103,4,"_max_q_",win,win,1,1,0
3,103,5,"gkwy",win,win,1,1,0
3,103,6,"sodiumhyrdride",win,win,1,1,0
3,103,7,"_max_q_",win,win,1,1,0
3,103,8,"s3xyfuture",loss,loss,0,0,0
3,103,9,"default_vpc",win,win,1,1,0
3,103,10,"arminsolecki",win,win,1,1,0
3,103,11,"izzat316",loss,loss,0,0,0
3,103,12,"default_vpc",win,win,1,1,0
3,103,13,"_max_q_",win,win,1,1,0
3,103,14,"sodiumhyrdride",win,win,1,1,0
3,103,15,"default_vpc",win,win,1,1,0
3,103,16,"lighttwrecker",win,win,1,1,0
3,103,17,"luisjimnezcort5",win,win,1,1,0
3,103,18,"default_vpc",win,win,1,1,0
3,103,19,"default_vpc",win,win,1,1,0
3,103,20,"1bjax",draw,draw,0.5,0.5,0
3,107,1,"theusinnovator",win,win,1,1,0
3,107,2,"theusinnovator",win,win,1,1,0
3,107,3,"default_vpc",loss,loss,0,0,0
3,107,4,"devtony",loss,loss,0,0,0
3,107,5,"mhk7272",win,win,1,1,0
3,107,6,"arminsolecki",win,win,1,1,0
3,107,7,"s3xyfuture",draw,draw,0.5,0.5,0
3,107,8,"default_vpc",win,win,1,1,0
3,107,9,"luisjimnezcort5",win,win,1,1,0
3,107,10,"devtony",loss,loss,0,0,0
3,107,11,"izzat316",loss,loss,0,0,0
3,107,12,"ayaanyyz",win,win,1,1,0
3,107,13,"s3xyfuture",win,win,1,1,0
3,107,14,"default_vpc",win,win,1,1,0
3,107,15,"gkwy",win,win,1,1,0
3,107,16,"1bjax",win,win,1,1,0
3,107,17,"default_vpc",win,win,1,1,0
3,107,18,"gkwy",win,win,1,1,0
3,107,19,"default_vpc",win,win,1,1,0
3,107,20,"metamaxct",win,win,1,1,0
3,109,1,"roostercogdick",loss,loss,0,0,0
3,109,2,"_max_q_",win,win,1,1,0
3,109,3,"gkwy",win,win,1,1,0
3,109,4,"_max_q_",win,win,1,1,0
3,109,5,"s3xyfuture",loss,loss,0,0,0
3,109,6,"default_vpc",win,win,1,1,0
3,109,7,"_max_q_",win,win,1,1,0
3,109,8,"mhk7272",win,win,1,1,0
3,109,9,"1bjax",loss,loss,0,0,0
3,109,10,"s3xyfuture",loss,loss,0,0,0
3,109,11,"_max_q_",win,win,1,1,0
3,109,12,"default_vpc",win,win,1,1,0
3,109,13,"izzat316",win,win,1,1,0
3,109,14,"default_vpc",win,win,1,1,0
3,109,15,"theusinnovator",win,win,1,1,0
3,109,16,"roostercogdick",win,win,1,1,0
3,109,17,"_max_q_",win,win,1,1,0
3,109,18,"default_vpc",win,win,1,1,0
3,109,19,"lighttwrecker",win,win,1,1,0
3,109,20,"1bjax",win,win,1,1,0
3,113,1,"_max_q_",loss,loss,0,0,0
3,113,2,"1bjax",loss,loss,0,0,0
3,113,3,"default_vpc",draw,draw,0.5,0.5,0
3,113,4,"theusinnovator",win,win,1,1,0
3,113,5,"default_vpc",win,win,1,1,0
3,113,6,"default_vpc",win,win,1,1,0
3,113,7,"iijanchan",win,win,1,1,0
3,113,8,"gkwy",win,win,1,1,0
3,113,9,"s3xyfuture",loss,loss,0,0,0
3,113,10,"nateclarklive",win,win,1,1,0
3,113,11,"s3xyfuture",win,win,1,1,0
3,113,12,"arminsolecki",win,win,1,1,0
3,113,13,"s3xyfuture",win,win,1,1,0
3,113,14,"s3xyfuture",win,win,1,1,0
3,113,15,"intensidad1111",win,win,1,1,0
3,113,16,"izzat316",loss,loss,0,0,0
3,113,17,"sodiumhyrdride",win,win,1,1,0
3,113,18,"luisjimnezcort5",win,win,1,1,0
3,113,19,"ayaanyyz",win,win,1,1,0
3,113,20,"s3xyfuture",win,win,1,1,0
