season,seed,match,handle,before,current,before_score,current_score,delta
1,241,1,"mfatikk",loss,loss,0,0,0
1,241,2,"kanning_m",loss,loss,0,0,0
1,241,3,"danilopinhobr",win,win,1,1,0
1,241,4,"ykcxx00",win,win,1,1,0
1,241,5,"valomcratch",win,win,1,1,0
1,241,6,"resqun11",win,win,1,1,0
1,241,7,"glitxches",win,win,1,1,0
1,241,8,"bala_muppala",win,win,1,1,0
1,241,9,"novagamingx4",loss,loss,0,0,0
1,241,10,"logosworks",loss,loss,0,0,0
1,241,11,"mytonl93441",win,win,1,1,0
1,241,12,"lyanlab",win,win,1,1,0
1,241,13,"haraldandertun",win,win,1,1,0
1,241,14,"aurinkern",loss,loss,0,0,0
1,241,15,"irsthaeth",win,win,1,1,0
1,241,16,"mm0000001",win,win,1,1,0
1,241,17,"bala_muppala",win,win,1,1,0
1,241,18,"devin_yakima",win,win,1,1,0
1,241,19,"lucifer_c",win,win,1,1,0
1,241,20,"glittergates",win,win,1,1,0
1,251,1,"rodamn",loss,loss,0,0,0
1,251,2,"husseinraoouf",win,win,1,1,0
1,251,3,"databoticsusa",win,win,1,1,0
1,251,4,"mikogen",win,win,1,1,0
1,251,5,"jeffp2662",win,win,1,1,0
1,251,6,"thewife_",win,win,1,1,0
1,251,7,"paulctan",draw,draw,0.5,0.5,0
1,251,8,"kennychoww1",win,win,1,1,0
1,251,9,"megied",win,win,1,1,0
1,251,10,"jambrefe",win,win,1,1,0
1,251,11,"lyanlab",win,win,1,1,0
1,251,12,"joe_xbt",win,win,1,1,0
1,251,13,"smartbean",win,win,1,1,0
1,251,14,"thebacterio",win,win,1,1,0
1,251,15,"phlet7",win,win,1,1,0
1,251,16,"endshunter",win,win,1,1,0
1,251,17,"jon_rose_",win,win,1,1,0
1,251,18,"selfluencer_io",win,win,1,1,0
1,251,19,"autoglassofsd",win,win,1,1,0
1,251,20,"fatkiddeals",win,win,1,1,0
1,257,1,"ken_tricks",loss,loss,0,0,0
1,257,2,"_ebfe",draw,draw,0.5,0.5,0
1,257,3,"tischann1",win,win,1,1,0
1,257,4,"lucifer_c",win,win,1,1,0
1,257,5,"dczx1997",win,win,1,1,0
1,257,6,"gavinodysseaus",win,win,1,1,0
1,257,7,"mikenewnam",win,win,1,1,0
1,257,8,"w_j_pratt",win,win,1,1,0
1,257,9,"cybareth",win,win,1,1,0
1,257,10,"arkaene",win,win,1,1,0
1,257,11,"theretardedelon",win,win,1,1,0
1,257,12,"taxzy920",win,win,1,1,0
1,257,13,"sergiocastillop",win,win,1,1,0
1,257,14,"joeympow",win,win,1,1,0
1,257,15,"gematriuma",win,win,1,1,0
1,257,16,"bangdg2",win,win,1,1,0
1,257,17,"dogatemywork",win,win,1,1,0
1,257,18,"mexicanwoody",win,win,1,1,0
1,257,19,"chr1sr1chards",win,win,1,1,0
1,257,20,"kristajoypalmer",win,win,1,1,0
2,241,1,"poteto",loss,loss,0,0,0
2,241,2,"omlejmi",loss,loss,0,0,0
2,241,3,"devtony",win,win,1,1,0
2,241,4,"vibeleiz",draw,draw,0.5,0.5,0
2,241,5,"vibeleiz",win,win,1,1,0
2,241,6,"sunix_s",win,win,1,1,0
2,241,7,"josephyangx",draw,draw,0.5,0.5,0
2,241,8,"default_vpc",win,win,1,1,0
2,241,9,"scottmrisk",win,win,1,1,0
2,241,10,"poteto",win,win,1,1,0
2,241,11,"scottmrisk",win,win,1,1,0
2,241,12,"poteto",win,win,1,1,0
2,241,13,"mayanksagar26",win,win,1,1,0
2,241,14,"default_vpc",win,win,1,1,0
2,241,15,"mayanksagar26",win,win,1,1,0
2,241,16,"scottmrisk",win,win,1,1,0
2,241,17,"default_vpc",win,win,1,1,0
2,241,18,"diamondhanddie",win,win,1,1,0
2,241,19,"poteto",win,win,1,1,0
2,241,20,"josephyangx",win,win,1,1,0
2,251,1,"sunix_s",loss,loss,0,0,0
2,251,2,"mayanksagar26",win,win,1,1,0
2,251,3,"devtony",loss,loss,0,0,0
2,251,4,"scottmrisk",win,win,1,1,0
2,251,5,"nozeheize",draw,draw,0.5,0.5,0
2,251,6,"truongluongvinh",win,win,1,1,0
2,251,7,"sodiumhyrdride",win,win,1,1,0
2,251,8,"omlejmi",win,win,1,1,0
2,251,9,"poteto",win,win,1,1,0
2,251,10,"nozeheize",win,win,1,1,0
2,251,11,"poteto",win,win,1,1,0
2,251,12,"nozeheize",win,win,1,1,0
2,251,13,"thatretireddude",win,win,1,1,0
2,251,14,"truongluongvinh",win,win,1,1,0
2,251,15,"sodiumhyrdride",win,win,1,1,0
2,251,16,"josephyangx",win,win,1,1,0
2,251,17,"nozeheize",win,win,1,1,0
2,251,18,"thatretireddude",win,win,1,1,0
2,251,19,"default_vpc",win,win,1,1,0
2,251,20,"josephyangx",loss,loss,0,0,0
2,257,1,"omlejmi",loss,loss,0,0,0
2,257,2,"ai",win,win,1,1,0
2,257,3,"truongluongvinh",win,win,1,1,0
2,257,4,"poteto",loss,loss,0,0,0
2,257,5,"diamondhanddie",win,win,1,1,0
2,257,6,"josephyangx",win,win,1,1,0
2,257,7,"poteto",win,win,1,1,0
2,257,8,"vibeleiz",win,win,1,1,0
2,257,9,"devtony",loss,loss,0,0,0
2,257,10,"as42tsx",win,win,1,1,0
2,257,11,"truongluongvinh",loss,loss,0,0,0
2,257,12,"truongluongvinh",win,win,1,1,0
2,257,13,"thatretireddude",win,win,1,1,0
2,257,14,"nozeheize",win,win,1,1,0
2,257,15,"josephyangx",win,win,1,1,0
2,257,16,"default_vpc",win,win,1,1,0
2,257,17,"diamondhanddie",win,win,1,1,0
2,257,18,"poteto",win,win,1,1,0
