season,seed,match,handle,before,current,before_score,current_score,delta
4,211,1,fabianhtml,loss,loss,0,0,0
4,211,2,fabianhtml,loss,loss,0,0,0
4,211,3,fabianhtml,loss,draw,0,0.5,0.5
4,211,4,fabianhtml,loss,win,0,1,1
4,211,5,qsr_cg,win,loss,1,0,-1
4,211,6,thatretireddude,win,win,1,1,0
4,211,7,roostercogdick,win,win,1,1,0
4,211,8,a000001114,win,win,1,1,0
4,211,9,qsr_cg,win,win,1,1,0
4,211,10,qsr_cg,loss,draw,0,0.5,0.5
4,211,11,thatretireddude,win,win,1,1,0
4,211,12,thatretireddude,win,win,1,1,0
4,211,13,thatretireddude,draw,draw,0.5,0.5,0
4,211,14,qsr_cg,loss,loss,0,0,0
4,211,15,qsr_cg,win,win,1,1,0
4,211,16,thatretireddude,win,win,1,1,0
4,211,17,qsr_cg,loss,loss,0,0,0
4,211,18,qsr_cg,draw,win,0.5,1,0.5
4,211,19,qsr_cg,win,win,1,1,0
4,211,20,thatretireddude,win,draw,1,0.5,-0.5
4,223,1,fabianhtml,loss,loss,0,0,0
4,223,2,fabianhtml,win,win,1,1,0
4,223,3,fabianhtml,draw,draw,0.5,0.5,0
4,223,4,fabianhtml,loss,loss,0,0,0
4,223,5,qsr_cg,loss,win,0,1,1
4,223,6,thatretireddude,win,win,1,1,0
4,223,7,roostercogdick,win,win,1,1,0
4,223,8,a000001114,win,win,1,1,0
4,223,9,qsr_cg,win,loss,1,0,-1
4,223,10,qsr_cg,loss,draw,0,0.5,0.5
4,223,11,thatretireddude,win,win,1,1,0
4,223,12,thatretireddude,win,win,1,1,0
4,223,13,thatretireddude,win,win,1,1,0
4,223,14,qsr_cg,win,win,1,1,0
4,223,15,qsr_cg,win,win,1,1,0
4,223,16,thatretireddude,draw,win,0.5,1,0.5
4,223,17,qsr_cg,win,win,1,1,0
4,223,18,qsr_cg,win,win,1,1,0
4,223,19,qsr_cg,win,win,1,1,0
4,223,20,thatretireddude,win,win,1,1,0
4,227,1,fabianhtml,loss,loss,0,0,0
4,227,2,fabianhtml,loss,loss,0,0,0
4,227,3,fabianhtml,draw,draw,0.5,0.5,0
4,227,4,fabianhtml,win,win,1,1,0
4,227,5,qsr_cg,loss,win,0,1,1
4,227,6,thatretireddude,win,win,1,1,0
4,227,7,roostercogdick,win,win,1,1,0
4,227,8,a000001114,win,win,1,1,0
4,227,9,qsr_cg,win,win,1,1,0
4,227,10,qsr_cg,win,win,1,1,0
4,227,11,thatretireddude,win,win,1,1,0
4,227,12,thatretireddude,win,win,1,1,0
4,227,13,thatretireddude,loss,win,0,1,1
4,227,14,qsr_cg,win,win,1,1,0
4,227,15,qsr_cg,win,win,1,1,0
4,227,16,thatretireddude,win,win,1,1,0
4,227,17,qsr_cg,win,win,1,1,0
4,227,18,qsr_cg,loss,win,0,1,1
4,227,19,qsr_cg,draw,win,0.5,1,0.5
4,227,20,thatretireddude,win,win,1,1,0
4,229,1,fabianhtml,win,win,1,1,0
4,229,2,fabianhtml,win,win,1,1,0
4,229,3,fabianhtml,win,loss,1,0,-1
4,229,4,fabianhtml,loss,loss,0,0,0
4,229,5,qsr_cg,loss,win,0,1,1
4,229,6,thatretireddude,win,win,1,1,0
4,229,7,roostercogdick,win,win,1,1,0
4,229,8,a000001114,win,win,1,1,0
4,229,9,qsr_cg,win,loss,1,0,-1
4,229,10,qsr_cg,win,win,1,1,0
4,229,11,thatretireddude,win,loss,1,0,-1
4,229,12,thatretireddude,win,win,1,1,0
4,229,13,thatretireddude,loss,win,0,1,1
4,229,14,qsr_cg,loss,win,0,1,1
4,229,15,qsr_cg,win,win,1,1,0
4,229,16,thatretireddude,draw,loss,0.5,0,-0.5
4,229,17,qsr_cg,win,win,1,1,0
4,229,18,qsr_cg,win,win,1,1,0
4,229,19,qsr_cg,draw,draw,0.5,0.5,0
4,229,20,thatretireddude,win,loss,1,0,-1
4,233,1,fabianhtml,loss,win,0,1,1
4,233,2,fabianhtml,loss,loss,0,0,0
4,233,3,fabianhtml,loss,loss,0,0,0
4,233,4,fabianhtml,draw,win,0.5,1,0.5
4,233,5,qsr_cg,loss,win,0,1,1
4,233,6,thatretireddude,win,win,1,1,0
4,233,7,roostercogdick,win,win,1,1,0
4,233,8,a000001114,win,win,1,1,0
4,233,9,qsr_cg,win,win,1,1,0
4,233,10,qsr_cg,win,win,1,1,0
4,233,11,thatretireddude,win,win,1,1,0
4,233,12,thatretireddude,win,win,1,1,0
4,233,13,thatretireddude,win,win,1,1,0
4,233,14,qsr_cg,loss,win,0,1,1
4,233,15,qsr_cg,win,win,1,1,0
4,233,16,thatretireddude,win,win,1,1,0
4,233,17,qsr_cg,loss,win,0,1,1
4,233,18,qsr_cg,win,win,1,1,0
4,233,19,qsr_cg,win,win,1,1,0
4,233,20,thatretireddude,loss,loss,0,0,0
