season,seed,matches,wins,losses,draws,match_score
1,101,50,44,4,2,0.9
2,101,50,41,6,3,0.85
1,103,50,45,5,0,0.9
2,103,50,43,6,1,0.87
1,107,50,46,2,2,0.94
2,107,50,43,3,4,0.9
1,109,50,44,6,0,0.88
2,109,50,40,5,5,0.85
1,113,50,44,3,3,0.91
2,113,50,43,3,4,0.9
1,127,50,42,6,2,0.86
2,127,50,44,4,2,0.9
1,131,50,46,4,0,0.92
2,131,50,37,8,5,0.79
1,137,50,43,3,4,0.9
2,137,50,45,4,1,0.91
1,139,50,43,2,5,0.91
2,139,50,41,3,6,0.88
1,149,50,44,4,2,0.9
2,149,50,45,3,2,0.92
1,151,50,44,3,3,0.91
2,151,50,44,4,2,0.9
1,157,50,45,3,2,0.92
2,157,50,45,4,1,0.91
1,163,50,44,4,2,0.9
2,163,50,42,7,1,0.85
1,167,50,44,4,2,0.9
2,167,50,42,6,2,0.86
1,173,50,46,3,1,0.93
2,173,50,45,4,1,0.91
1,179,50,46,2,2,0.94
2,179,50,44,4,2,0.9
1,181,50,46,2,2,0.94
2,181,50,45,1,4,0.94
1,191,50,43,2,5,0.91
2,191,50,46,3,1,0.93
1,193,50,39,7,4,0.82
2,193,50,45,4,1,0.91
1,197,50,44,3,3,0.91
2,197,50,43,3,4,0.9
