fold,seed,match,handle,baseline,candidate,baseline_score,candidate_score,delta
0,101,1,"default_vpc",win,win,1,1,0
0,101,2,"default_vpc",win,win,1,1,0
0,103,1,"default_vpc",win,win,1,1,0
0,103,2,"default_vpc",win,win,1,1,0
0,107,1,"default_vpc",win,win,1,1,0
0,107,2,"default_vpc",win,win,1,1,0
0,109,1,"default_vpc",win,win,1,1,0
0,109,2,"metamaxct",win,win,1,1,0
0,113,1,"metamaxct",win,loss,1,0,-1
0,113,2,"default_vpc",win,win,1,1,0
1,101,1,"iijanchan",win,win,1,1,0
1,101,2,"_max_q_",win,win,1,1,0
1,103,1,"_max_q_",win,win,1,1,0
1,103,2,"mhk7272",win,win,1,1,0
1,107,1,"_max_q_",win,win,1,1,0
1,107,2,"_max_q_",win,win,1,1,0
1,109,1,"mhk7272",win,win,1,1,0
1,109,2,"ayaanyyz",win,win,1,1,0
1,113,1,"ayaanyyz",win,win,1,1,0
1,113,2,"_max_q_",win,win,1,1,0
2,101,1,"izzat316",draw,draw,0.5,0.5,0
2,101,2,"alexfinkbeiner",win,draw,1,0.5,-0.5
2,103,1,"alexfinkbeiner",win,win,1,1,0
2,103,2,"izzat316",loss,loss,0,0,0
2,107,1,"alexfinkbeiner",win,win,1,1,0
2,107,2,"izzat316",draw,loss,0.5,0,-0.5
2,109,1,"izzat316",loss,loss,0,0,0
2,109,2,"izzat316",win,win,1,1,0
2,113,1,"izzat316",loss,loss,0,0,0
2,113,2,"alexfinkbeiner",win,win,1,1,0
3,101,1,"eliancodex",win,win,1,1,0
3,101,2,"theusinnovator",win,win,1,1,0
3,103,1,"theusinnovator",win,win,1,1,0
3,103,2,"roostercogdick",win,win,1,1,0
3,107,1,"theusinnovator",win,win,1,1,0
3,107,2,"s3xyfuture",draw,loss,0.5,0,-0.5
3,109,1,"roostercogdick",win,win,1,1,0
3,109,2,"theusinnovator",win,win,1,1,0
3,113,1,"theusinnovator",win,win,1,1,0
3,113,2,"theusinnovator",win,win,1,1,0
4,101,1,"1bjax",win,win,1,1,0
4,101,2,"luisjimnezcort5",win,win,1,1,0
4,103,1,"luisjimnezcort5",win,win,1,1,0
4,103,2,"sodiumhyrdride",win,win,1,1,0
4,107,1,"luisjimnezcort5",win,win,1,1,0
4,107,2,"sodiumhyrdride",win,loss,1,0,-1
4,109,1,"sodiumhyrdride",win,draw,1,0.5,-0.5
4,109,2,"arminsolecki",win,win,1,1,0
4,113,1,"gkwy",win,win,1,1,0
4,113,2,"1bjax",win,draw,1,0.5,-0.5
