season,seed,match,handle,before,current,before_score,current_score,delta
4,197,1,"gabriel_x86",win,win,1,1,0
4,197,2,"kanuma368",win,win,1,1,0
4,197,3,"gabriel_x86",win,win,1,1,0
4,197,4,"gabriel_x86",win,loss,1,0,-1
4,197,5,"sodiumhyrdride",win,win,1,1,0
4,197,6,"shirai3des",win,win,1,1,0
4,197,7,"andrei_cursor",win,win,1,1,0
4,197,8,"shirai3des",win,win,1,1,0
4,197,9,"sodiumhyrdride",draw,win,0.5,1,0.5
4,197,10,"gabriel_x86",win,win,1,1,0
4,197,11,"sodiumhyrdride",win,win,1,1,0
4,197,12,"gabriel_x86",win,win,1,1,0
4,197,13,"gabriel_x86",win,win,1,1,0
4,197,14,"gabriel_x86",win,win,1,1,0
4,197,15,"gabriel_x86",win,win,1,1,0
4,197,16,"gabriel_x86",win,win,1,1,0
4,197,17,"shirai3des",win,win,1,1,0
4,197,18,"gabriel_x86",win,win,1,1,0
4,197,19,"gabriel_x86",win,win,1,1,0
4,197,20,"cmoyyds",win,win,1,1,0
4,199,1,"gabriel_x86",win,win,1,1,0
4,199,2,"sodiumhyrdride",draw,win,0.5,1,0.5
4,199,3,"sodiumhyrdride",loss,win,0,1,1
4,199,4,"shirai3des",win,win,1,1,0
4,199,5,"andrei_cursor",win,win,1,1,0
4,199,6,"andrei_cursor",win,win,1,1,0
4,199,7,"sodiumhyrdride",win,win,1,1,0
4,199,8,"sodiumhyrdride",win,win,1,1,0
4,199,9,"shirai3des",win,win,1,1,0
4,199,10,"sodiumhyrdride",win,draw,1,0.5,-0.5
4,199,11,"gabriel_x86",win,win,1,1,0
4,199,12,"cmoyyds",win,win,1,1,0
4,199,13,"gabriel_x86",win,win,1,1,0
4,199,14,"drewmax",win,win,1,1,0
4,199,15,"gabriel_x86",win,win,1,1,0
4,199,16,"gabriel_x86",win,win,1,1,0
4,199,17,"shirai3des",win,win,1,1,0
4,199,18,"sodiumhyrdride",win,win,1,1,0
4,199,19,"cmoyyds",win,win,1,1,0
4,199,20,"gabriel_x86",win,win,1,1,0
4,211,1,"shirai3des",win,win,1,1,0
4,211,2,"gabriel_x86",win,win,1,1,0
4,211,3,"a000001114",win,win,1,1,0
4,211,4,"shirai3des",win,win,1,1,0
4,211,5,"gabriel_x86",win,win,1,1,0
4,211,6,"drewmax",win,win,1,1,0
4,211,7,"drewmax",win,win,1,1,0
4,211,8,"gabriel_x86",win,win,1,1,0
4,211,9,"gabriel_x86",win,loss,1,0,-1
4,211,10,"sodiumhyrdride",win,win,1,1,0
4,211,11,"sodiumhyrdride",win,win,1,1,0
4,211,12,"gabriel_x86",win,win,1,1,0
4,211,13,"gabriel_x86",win,win,1,1,0
4,211,14,"dropoutsanta",win,win,1,1,0
4,211,15,"drewmax",win,win,1,1,0
4,211,16,"gabriel_x86",win,win,1,1,0
4,211,17,"shirai3des",win,win,1,1,0
4,211,18,"shirai3des",win,win,1,1,0
4,211,19,"dropoutsanta",win,win,1,1,0
4,211,20,"andrei_cursor",win,win,1,1,0
