season,seed,match,handle,before,current,before_score,current_score,delta
1,181,1,"zachregroup",draw,draw,0.5,0.5,0
1,181,2,"bartlangley2",win,win,1,1,0
1,181,3,"husseinraoouf",win,win,1,1,0
1,181,4,"fatkiddeals",win,win,1,1,0
1,181,5,"crawlzpace",win,win,1,1,0
1,181,6,"gorandejanx9hy",win,win,1,1,0
1,181,7,"chopper_threads",win,win,1,1,0
1,181,8,"nickbarton",win,win,1,1,0
1,181,9,"seano1022",draw,draw,0.5,0.5,0
1,181,10,"mangobushmango",win,win,1,1,0
1,191,1,"novagamingx4",loss,loss,0,0,0
1,191,2,"krzyszt49207304",draw,draw,0.5,0.5,0
1,191,3,"godstorm91",draw,draw,0.5,0.5,0
1,191,4,"petex47",win,win,1,1,0
1,191,5,"mlaneio",win,win,1,1,0
1,191,6,"_coachingportal",win,win,1,1,0
1,191,7,"prakash__pun",win,win,1,1,0
1,191,8,"slash9nine9",win,win,1,1,0
1,191,9,"eduguilarducci",win,win,1,1,0
1,191,10,"mytonlopez",win,win,1,1,0
2,181,1,"vibeleiz",loss,loss,0,0,0
2,181,2,"default_vpc",win,win,1,1,0
2,181,3,"mayanksagar26",loss,loss,0,0,0
2,181,4,"josephyangx",loss,loss,0,0,0
2,181,5,"devtony",win,win,1,1,0
2,181,6,"mayanksagar26",win,win,1,1,0
2,181,7,"devtony",win,win,1,1,0
2,181,8,"scottmrisk",win,win,1,1,0
2,181,9,"thatretireddude",win,win,1,1,0
2,181,10,"poteto",win,win,1,1,0
2,191,1,"scottmrisk",win,win,1,1,0
2,191,2,"omlejmi",loss,loss,0,0,0
2,191,3,"josephyangx",win,win,1,1,0
2,191,4,"sodiumhyrdride",win,win,1,1,0
2,191,5,"scottmrisk",win,win,1,1,0
2,191,6,"ai",win,win,1,1,0
2,191,7,"sodiumhyrdride",win,win,1,1,0
2,191,8,"thatretireddude",win,win,1,1,0
2,191,9,"diamondhanddie",win,win,1,1,0
2,191,10,"scottmrisk",win,win,1,1,0
