season,seed,match,handle,before,current,before_score,current_score,delta
3,181,1,"roostercogdick",loss,loss,0,0,0
3,181,2,"default_vpc",win,win,1,1,0
3,181,3,"default_vpc",win,win,1,1,0
3,181,4,"devtony",loss,loss,0,0,0
3,181,5,"gkwy",win,win,1,1,0
3,181,6,"izzat316",loss,loss,0,0,0
3,181,7,"nateclarklive",win,win,1,1,0
3,181,8,"theusinnovator",win,win,1,1,0
3,181,9,"intensidad1111",win,win,1,1,0
3,181,10,"s3xyfuture",win,win,1,1,0
3,191,1,"default_vpc",draw,draw,0.5,0.5,0
3,191,2,"metamaxct",loss,loss,0,0,0
3,191,3,"izzat316",win,win,1,1,0
3,191,4,"s3xyfuture",win,win,1,1,0
3,191,5,"s3xyfuture",loss,loss,0,0,0
3,191,6,"iijanchan",draw,draw,0.5,0.5,0
3,191,7,"1bjax",draw,draw,0.5,0.5,0
3,191,8,"izzat316",win,win,1,1,0
3,191,9,"izzat316",win,win,1,1,0
3,191,10,"theusinnovator",win,win,1,1,0
