season,seed,match,handle,before,current,before_score,current_score,delta
1,271,1,"mlaneio",win,win,1,1,0
1,271,2,"a_g_e_n_c",draw,draw,0.5,0.5,0
1,271,3,"dyeson_max",win,win,1,1,0
1,271,4,"dyeson_max",win,win,1,1,0
1,271,5,"schuylercoleman",win,win,1,1,0
1,271,6,"alenski_eth",loss,loss,0,0,0
1,271,7,"skdonkor672",win,win,1,1,0
1,271,8,"haraldandertun",win,win,1,1,0
1,271,9,"devs_machina",win,win,1,1,0
1,271,10,"gorikfr",win,win,1,1,0
1,277,1,"chopper_threads",win,win,1,1,0
1,277,2,"riskadjustedme",loss,loss,0,0,0
1,277,3,"aiden_overdorf",win,win,1,1,0
1,277,4,"barkgj",win,win,1,1,0
1,277,5,"josephm95500426",loss,loss,0,0,0
1,277,6,"arnavprs",win,win,1,1,0
1,277,7,"realhameed",win,win,1,1,0
1,277,8,"jaybosshq",win,win,1,1,0
1,277,9,"godstorm91",draw,draw,0.5,0.5,0
1,277,10,"resqun11",win,win,1,1,0
2,271,1,"scottmrisk",win,win,1,1,0
2,271,2,"ai",draw,draw,0.5,0.5,0
2,271,3,"diamondhanddie",win,win,1,1,0
2,271,4,"diamondhanddie",win,win,1,1,0
2,271,5,"thatretireddude",draw,draw,0.5,0.5,0
2,271,6,"as42tsx",loss,loss,0,0,0
2,271,7,"thatretireddude",win,win,1,1,0
2,271,8,"mayanksagar26",win,win,1,1,0
2,271,9,"diamondhanddie",win,win,1,1,0
2,271,10,"mayanksagar26",win,win,1,1,0
2,277,1,"devtony",loss,loss,0,0,0
2,277,2,"sunix_s",win,win,1,1,0
2,277,3,"ai",win,win,1,1,0
2,277,4,"default_vpc",win,win,1,1,0
2,277,5,"nozeheize",win,win,1,1,0
2,277,6,"as42tsx",win,win,1,1,0
2,277,7,"sunix_s",win,win,1,1,0
2,277,8,"nozeheize",win,win,1,1,0
2,277,9,"josephyangx",loss,loss,0,0,0
2,277,10,"sunix_s",win,win,1,1,0
