season,seed,match,handle,before,current,before_score,current_score,delta
3,271,1,"s3xyfuture",loss,loss,0,0,0
3,271,2,"izzat316",win,win,1,1,0
3,271,3,"_max_q_",win,win,1,1,0
3,271,4,"_max_q_",win,win,1,1,0
3,271,5,"default_vpc",win,win,1,1,0
3,271,6,"1bjax",draw,draw,0.5,0.5,0
3,271,7,"izzat316",win,win,1,1,0
3,271,8,"default_vpc",win,win,1,1,0
3,271,9,"_max_q_",win,win,1,1,0
3,271,10,"izzat316",win,win,1,1,0
3,277,1,"nateclarklive",win,win,1,1,0
3,277,2,"alexfinkbeiner",loss,loss,0,0,0
3,277,3,"1bjax",loss,loss,0,0,0
3,277,4,"ayaanyyz",win,win,1,1,0
3,277,5,"theusinnovator",win,win,1,1,0
3,277,6,"arminsolecki",win,win,1,1,0
3,277,7,"default_vpc",win,win,1,1,0
3,277,8,"_max_q_",win,win,1,1,0
3,277,9,"izzat316",loss,loss,0,0,0
3,277,10,"alexfinkbeiner",win,win,1,1,0
